Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Realization_LoadingAdded,HermiT_Realization_LoadingAdded,JFact_Realization_LoadingAdded,Konclude_Realization_LoadingAdded,Openllet_Realization_LoadingAdded,Pellet_Realization_LoadingAdded,KoncludeCLI_Realization_LoadingAdded
ore_ont_8882.owl,221,4355,11762,11479,465,11008,6,0,64,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,9.4882,18.6706,79.7277,0.0388,7.4801,25.0657,0.4709,0.048,0.1,0.0545,0.4591,0.1159,0.0895,9.536200000000001,18.7706,79.7822,0.4979,7.596,25.1552,0.4709
ore_ont_7345.owl,23,2221,9972,9759,391,9284,80,30,160,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0536,0.2658,1.4668,0.0357,0.0899,,0.1494,0.0469,0.1222999999999999,0.0351,0.4999,0.1585,,0.1005,0.3880999999999999,1.5019,0.5356,0.2484,,0.1494
ore_ont_9303.owl,726,2125,11295,10505,2405,8089,11,27,37,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.3524,0.0515,0.1783,0.0406,0.402,0.1505999999999999,,,,,,,,0.3524
ore_ont_2792.owl,3829,2423,14984,10737,7378,3165,194,46,373,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.5282,,104.3829,0.8137,79.7635,,1.1524,0.0694999999999999,0.2360999999999999,0.0635999999999999,0.4034,0.188,,1.5977,,104.4465,1.2170999999999998,79.9515,,1.1524
ore_ont_5721.owl,126,5574,13575,13372,251,13058,63,0,79,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.54,8.4898,8.7563,0.0221999999999999,0.3823,0.3202,0.3273,0.0529,0.1197,0.066,0.4535,0.1334999999999999,0.1171,0.5929,8.6095,8.8223,0.4756999999999999,0.5157999999999998,0.43729999999999997,0.3273
ore_ont_802.owl,1395,3764,13078,11596,1571,10016,9,49,39,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.2331,99.5488,5.8349,0.0378,0.8681,,0.2997,0.0543,0.1362,0.0686,0.4172,0.144,,0.2874,99.685,5.9035,0.455,1.0121,,0.2997
ore_ont_15871.owl,133,3347,15327,15182,155,15025,2,3,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0516,,2.2317,0.0155,,,0.4623,0.0568,0.1038,0.0584,0.4848,0.1247,,0.1084,,2.2901,0.5003,,,0.4623
ore_ont_205.owl,5496,149,17893,12291,11953,223,115,0,107,0,OWL2_DL - OWL2_FULL,OWL2_DL,626.2505,65.9452,,7.559699999999999,,,7.8662,0.0767,0.3709,0.0774,0.5638000000000001,0.1777999999999999,0.1936,626.3272,66.3161,,8.1235,,,7.8662
ore_ont_13082.owl,206,1617,13370,13159,258,12900,1,2,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1095,,2.2589,0.0168,,,0.3473,0.0604,,0.0321,0.6978,0.1428,0.1449,0.1699,,2.291,0.7146,,,0.3473
ore_ont_4639.owl,2795,1,26028,23228,10550,12674,4,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1602,4.4767,12.0891,0.0355,2.8335,2.3879,0.333,0.0897,0.2257,0.1136,0.6224999999999999,0.1204,0.1335,0.2499,4.7024,12.2027,0.6579999999999999,2.9539,2.5214000000000003,0.333
ore_ont_7251.owl,6731,0,29333,22597,8410,14187,0,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,4.1016,0.6926,47.4382,0.0658,0.1187,0.1141,0.3983,0.0886,0.2372,0.1341999999999999,0.6019,0.1341999999999999,0.1267,4.1902,0.9298,47.5724,0.6677,0.2528999999999999,0.24080000000000001,0.3983
ore_ont_10949.owl,1728,9486,18088,14881,5256,9486,139,379,1101,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.4363,,7.0495,1.7946,,,3.4637,0.0847,,0.1299,1.7749,0.2307,0.2113,2.521,,7.1794,3.5694999999999997,,,3.4637
ore_ont_8148.owl,3878,3089,17186,12870,7486,5183,201,47,392,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.0717,,144.1674,0.8371,98.0922,,1.304,0.0669,0.2423,0.0742,0.498,0.2021,,2.1386,,144.24159999999998,1.3351,98.2943,,1.304
ore_ont_6792.owl,458,3532,13314,12799,828,11939,32,0,59,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,25.5241,2.357,148.1742,0.0537,112.0268,1191.5126,0.7316,0.049,0.1134,0.0555,0.5345,0.1176,0.108,25.5731,2.4704,148.2297,0.5882,112.14439999999999,1191.6206,0.7316
ore_ont_1767.owl,1934,1,34403,32465,3520,28941,4,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.5887,19.2353,8.7147,0.0968,0.0513,0.0554,0.4614,0.1267,0.1792,0.1721,0.7377,0.0776999999999999,0.0909,0.7154,19.4145,8.886800000000001,0.8345,0.1289999999999999,0.14629999999999999,0.4614
ore_ont_12191.owl,5823,5462,26875,20398,11287,8762,349,56,599,0,OWL2_DL - OWL2_FULL,OWL2_DL,4.3421,,,2.4083,265.6856,,2.9816,0.0977,0.3539,0.1135,0.7502,0.2914,,4.4398,,,3.1585,265.97700000000003,,2.9816
ore_ont_3562.owl,7041,11,29459,22399,12477,9912,10,0,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,5.1764,8.7926,39.6532,0.1644,8.7852,5.1624,0.5243,0.0998,0.3473,0.1182,0.6579,0.2219,0.2283,5.2762,9.1399,39.7714,0.8223,9.0071,5.3907,0.5243
ore_ont_668.owl,322,2466,16643,16001,1435,14180,386,73,247,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1878,,5.6146,0.7904,,,0.6759,0.0941,0.231,0.0506,1.0306,0.2624,,0.2819,,5.6652000000000005,1.821,,,0.6759
ore_ont_8989.owl,39,3041,15549,15447,275,15166,6,33,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.4698,,0.1396,0.042,0.5069,0.1653,0.1616,,,,,,,0.4698
