Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp,HermiT,JFact,Konclude,Openllet,Pellet,KoncludeCLI
ore_ont_15596.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0042,2.6785,0.0887999999999999,0.0165,0.2286,OE,0.0438
ore_ont_7894.owl,253,0,1242,987,368,619,0,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0039,0.0390999999999999,0.1485,0.0064,0.014,0.0109,0.0321
ore_ont_1793.owl,497,0,1161,597,554,0,43,4,64,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_231.owl,168,32,884,524,334,23,167,0,192,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_8975.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0041,2.6718,0.0958,0.0158,0.2069,OE,0.044
ore_ont_10571.owl,224,82,951,651,270,262,119,10,67,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0043,2.6414,0.1031,0.0157,0.2415,OE,0.0442
ore_ont_14185.owl,340,482,1152,812,330,482,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.002,0.0503,0.0991,0.0063,0.0207,0.0175999999999999,0.0342
ore_ont_7730.owl,90,75,657,479,334,76,69,10,79,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_15231.owl,142,0,1057,913,375,537,1,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_9690.owl,85,204,875,691,228,448,15,29,71,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0014,0.0535,0.0711,0.0136,0.0371,0.0367,0.0429
ore_ont_8362.owl,26,100,713,627,170,445,12,23,38,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0082,IE,0.1575,0.0353,IE,OE,0.0455
ore_ont_12566.owl,170,75,904,605,463,108,34,24,106,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0124,0.2450999999999999,0.1463,0.0447,0.1158,OE,0.0724
ore_ont_2303.owl,142,0,1061,917,379,537,1,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.004,0.1598,0.1164999999999999,0.0058,0.0469,0.037,0.0305
ore_ont_13805.owl,75,161,674,587,163,416,8,1,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.8716,0.4895,5.7849,0.0087,0.3197,OE,0.049
ore_ont_1494.owl,644,0,1305,659,658,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_4668.owl,260,0,452,189,186,0,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_7820.owl,56,16,669,541,365,110,66,5,68,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_4388.owl,563,0,1195,632,631,0,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_7995.owl,459,0,965,504,504,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_9012.owl,295,0,714,385,385,0,0,0,34,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_3060.owl,62,16,684,548,371,110,67,5,70,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_3843.owl,92,18,694,510,410,25,75,10,83,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_14924.owl,143,189,922,773,486,278,9,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_12061.owl,213,0,445,232,232,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_7668.owl,74,161,689,603,179,416,8,1,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.2728,0.7733,7.8277,0.0244,0.681,OE,0.0744
ore_ont_15217.owl,219,0,455,236,236,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_5164.owl,177,58,964,586,352,58,176,0,201,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_11978.owl,67,118,727,579,226,299,54,0,81,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0024,0.125,0.074,0.053,0.0872,0.067,0.0722
ore_ont_1172.owl,67,118,727,579,226,299,54,0,81,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0026,0.1398,0.0691,0.0526,0.1055,0.0692,0.0721
ore_ont_8502.owl,142,392,955,810,417,392,1,0,3,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0047,0.0359,0.1363,0.006,0.0221,0.0138,0.0315
ore_ont_3708.owl,56,16,669,541,365,110,66,5,68,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0023,0.3284,0.064,0.0208,0.052,0.0372,0.0415
ore_ont_11504.owl,406,0,807,401,401,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_9783.owl,178,15,789,555,409,93,53,0,57,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_5033.owl,62,16,684,548,371,110,67,5,70,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0024,0.3036,0.0565,0.0201,0.0397,0.0368999999999999,0.0419
ore_ont_11416.owl,65,193,863,602,381,184,37,133,63,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0045,1.6503,0.121,0.0129,0.0486,0.0358,0.0403
ore_ont_1853.owl,57,16,693,556,377,110,69,7,74,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0026,0.3342,0.0561,0.0207,0.0454,0.0328,0.0426
