Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification
ore_ont_9119.owl,13993,0,39016,25022,25022,0,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,1.0881,590.7074,0.0691,75.7254,82.3768,0.9747
ore_ont_840.owl,34297,0,82311,48014,48014,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.1485,3.2162,3.688,0.3286,0.9722,0.9978,1.3316
ore_ont_8480.owl,6929,24910,51555,44509,2537,41814,158,0,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,0.2896,,,4.6272
ore_ont_6310.owl,32918,0,65834,32917,32917,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.5066,2.1587,5.2097,0.1088,0.2793,0.257,0.9652
ore_ont_13233.owl,7150,24910,52362,45046,2983,41831,232,0,169,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,16.808600000000002,,0.2261,,,3.3197
ore_ont_1685.owl,271,13793,52310,51982,342,51637,3,34,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.5421,,46.4611,0.0038,0.404,,0.7271
ore_ont_4049.owl,216,11758,61713,59261,4328,53737,1196,1078,1152,0,OWL2_DL,OWL2_DL,,,,,,,0.8172
ore_ont_6444.owl,348,8294,43865,43495,612,42877,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,327.2659,2.8176,,0.0094,,,1.0232
ore_ont_14425.owl,12013,0,57851,45827,45827,0,0,0,12,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,2.7122,1.7613,33.8293,0.0802,0.7997,0.5316,0.7251
ore_ont_9318.owl,39433,0,81363,41930,41930,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_RL - OWL2_FULL,OWL2_DL,,2.6262,,0.1522,170.266,151.773,1.182
